experiment_group,run,source,epoch,step,IoU,Baseline_IoU,Delta_IoU,Dynamic_IoU,Precision,Recall,F1,Accuracy
root,checkpoints_A,model1/checkpoints_A/wandb_logs.txt,1,1000,0.6982006507765642,,0.026611218853758493,0.22031653993600864,,,,
root,checkpoints_A,model1/checkpoints_A/wandb_logs.txt,2,2000,0.7080771117419707,,0.03648767981916496,0.2454290113183562,,,,
root,checkpoints_A,model1/checkpoints_A/wandb_logs.txt,3,3000,0.71681396060941,,0.045224528686604225,0.3215521717175407,,,,
root,checkpoints_A,model1/checkpoints_A/wandb_logs.txt,4,4000,0.7028460664899123,,0.03125663456710658,0.2377827386031243,,,,
root,checkpoints_A,model1/checkpoints_A/wandb_logs.txt,4,5000,0.6946642561879383,,0.023074824265132507,0.21567596792357113,,,,
root,checkpoints_A,model1/checkpoints_A/wandb_logs.txt,5,6000,0.7126353832278338,,0.04104595130502817,0.2772463151182871,,,,
root,checkpoints_A,model1/checkpoints_A/wandb_logs.txt,6,7000,0.7226715913439319,,0.05108215942112623,0.33157310505495985,,,,
root,checkpoints_A,model1/checkpoints_A/wandb_logs.txt,7,8000,0.7250938527271271,,0.05350442080432137,0.32250220691101095,,,,
root,checkpoints_A,model1/checkpoints_A/wandb_logs.txt,7,9000,0.7257592154941992,,0.05416978357139351,0.323415019467288,,,,
root,checkpoints_A,model1/checkpoints_A/wandb_logs.txt,8,10000,0.7268267598217794,,0.05523732789897365,0.3270687837517774,,,,
root,checkpoints_A,model1/checkpoints_A/wandb_logs.txt,9,11000,0.7275437563316796,,0.05595432440887397,0.33506852947736476,,,,
root,checkpoints_A,model1/checkpoints_A/wandb_logs.txt,10,12000,0.7284387873137392,,0.056849355390933595,0.33455315974154964,,,,
root,checkpoints_A,model1/checkpoints_A/wandb_logs.txt,10,13000,0.7267372090144641,,0.05514777709165844,0.3096567459494651,,,,
root,checkpoints_A,model1/checkpoints_A/wandb_logs.txt,11,14000,0.7285407182835446,,0.05695128636073889,0.3255800362597656,,,,
root,checkpoints_A,model1/checkpoints_A/wandb_logs.txt,12,15000,0.7301734304044257,,0.05858399848161987,0.34013981452032316,,,,
root,checkpoints_A,model1/checkpoints_A/wandb_logs.txt,13,16000,0.7306639456289061,,0.05907451370610038,0.3358315514477851,,,,
root,checkpoints_A,model1/checkpoints_A/wandb_logs.txt,13,17000,0.7304715299834108,,0.058882098060605056,0.33704031149568436,,,,
root,checkpoints_A,model1/checkpoints_A/wandb_logs.txt,14,18000,0.7295743214014125,,0.05798488947860677,0.32810464018078295,,,,
root,checkpoints_A,model1/checkpoints_A/wandb_logs.txt,15,19000,0.7314054661681284,,0.05981603424532275,0.33670982845149633,,,,
root,checkpoints_A,model1/checkpoints_A/wandb_logs.txt,16,20000,0.7314509498686497,,0.05986151794584385,0.3366902809782687,,,,
root,checkpoints_A,model1/checkpoints_A/wandb_logs.txt,16,21000,0.7305672738379413,,0.05897784191513564,0.33730871313527877,,,,
root,checkpoints_A,model1/checkpoints_A/wandb_logs.txt,17,22000,0.7313387223461789,,0.05974929042337329,0.3360248472173118,,,,
root,checkpoints_A,model1/checkpoints_A/wandb_logs.txt,18,23000,0.7319234921653772,,0.0603340602425715,0.34400504501290413,,,,
root,checkpoints_A,model1/checkpoints_A/wandb_logs.txt,19,24000,0.7322975540662457,,0.060708122143439965,0.3382577794195062,,,,
root,checkpoints_A,model1/checkpoints_A/wandb_logs.txt,20,25000,0.7316632342095681,,0.060073802286762484,0.32959603910515206,,,,
root,checkpoints_A,model1/checkpoints_A/wandb_logs.txt,20,26000,0.7319482864261635,,0.06035885450335773,0.3437948095798171,,,,
root,checkpoints_A,model1/checkpoints_A/wandb_logs.txt,21,27000,0.7323472205987013,,0.06075778867589559,0.3463443532795599,,,,
root,checkpoints_A,model1/checkpoints_A/wandb_logs.txt,22,28000,0.7329033515715122,,0.0613139196487065,0.3508545324855959,,,,
root,checkpoints_A,model1/checkpoints_A/wandb_logs.txt,23,29000,0.73274215985326,,0.06115272793045438,0.347310393104583,,,,
root,checkpoints_A,model1/checkpoints_A/wandb_logs.txt,23,30000,0.7326605179760052,,0.06107108605319936,0.3385976816648767,,,,
root,checkpoints_A,model1/checkpoints_A/wandb_logs.txt,24,31000,0.7335117268700498,,0.06192229494724398,0.3482240915662298,,,,
root,checkpoints_A,model1/checkpoints_A/wandb_logs.txt,25,32000,0.7331615779398944,,0.061572146017088665,0.34597646532162857,,,,
root,checkpoints_A,model1/checkpoints_A/wandb_logs.txt,26,33000,0.7328352826262167,,0.06124585070341098,0.3388546068048204,,,,
root,checkpoints_A,model1/checkpoints_A/wandb_logs.txt,26,34000,0.7319962535783742,,0.06040682165556829,0.3392769114086758,,,,
root,checkpoints_A,model1/checkpoints_A/wandb_logs.txt,27,35000,0.7329597310841697,,0.06137029916136386,0.343896104972404,,,,
root,checkpoints_A,model1/checkpoints_A/wandb_logs.txt,28,36000,0.7315514225160089,,0.05996199059320327,0.33799772742547607,,,,
