experiment_group,run,source,points,first_step,last_step,best_step,best_IoU,best_Delta_IoU,best_Dynamic_IoU,final_IoU,final_Delta_IoU,final_Dynamic_IoU
revision_mst_ablation/baseline,checkpoints,runs/revision_mst_ablation/baseline/checkpoints/wandb_logs.txt,14,1000,13050,11000,0.7494563372801238,0.05520052499106732,0.32585966182806747,0.7487611696502056,0.054505357361149004,0.3295880194825385
revision_mst_ablation/bottleneck12,checkpoints,runs/revision_mst_ablation/bottleneck12/checkpoints/wandb_logs.txt,14,1000,13050,13000,0.7212829182879485,0.027027105998891996,0.09359062753124177,0.7192760261310382,0.025020213841981623,0.09864430729489171
revision_mst_ablation/ds64_fp16,checkpoints,runs/revision_mst_ablation/ds64_fp16/checkpoints/wandb_logs.txt,14,1000,13050,13050,0.7200180805709846,0.025762268281928128,0.0914149674267842,0.7200180805709846,0.025762268281928128,0.0914149674267842
revision_mst_ablation/gru_fp16,checkpoints,runs/revision_mst_ablation/gru_fp16/checkpoints/wandb_logs.txt,14,1000,13050,13000,0.7469373664912065,0.05268155420214998,0.3050500121416313,0.7462386762674973,0.0519828639784408,0.3074807626211741
revision_vspm_sensitivity/T10_n10,checkpoints,runs/revision_vspm_sensitivity/T10_n10/checkpoints/wandb_logs.txt,25,1000,24600,23000,0.7248383809585522,0.056399829070366635,0.3191044388709619,0.7243048657971335,0.05586631390894782,0.3331916452056823
revision_vspm_sensitivity/T10_n15,checkpoints,runs/revision_vspm_sensitivity/T10_n15/checkpoints/wandb_logs.txt,47,1000,46200,46200,0.7074549856625457,0.054947815161286814,0.31093412962729067,0.7074549856625457,0.054947815161286814,0.31093412962729067
revision_vspm_sensitivity/T10_n3,checkpoints,runs/revision_vspm_sensitivity/T10_n3/checkpoints/wandb_logs.txt,14,1000,13350,13000,0.7680709638816969,0.056056757036420296,0.35277778447646874,0.7678427435453913,0.055828536700114645,0.3413326445326609
revision_vspm_sensitivity/T10_n5,checkpoints,runs/revision_vspm_sensitivity/T10_n5/checkpoints/wandb_logs.txt,14,1000,13050,13050,0.7512806469663724,0.05702483467731593,0.33557834837644596,0.7512806469663724,0.05702483467731593,0.33557834837644596
revision_vspm_sensitivity/T20_n5,checkpoints,runs/revision_vspm_sensitivity/T20_n5/checkpoints/wandb_logs.txt,24,1000,23100,20000,0.74999097387687,0.058437671931692546,0.3314096142383025,0.7496363581294815,0.05808305618430399,0.32974307449049695
revision_vspm_sensitivity/T30_n5,checkpoints,runs/revision_vspm_sensitivity/T30_n5/checkpoints/wandb_logs.txt,41,1000,40200,33000,0.7520779723740624,0.05997322564141944,0.33936919470812776,0.7517555016848291,0.059650754952186164,0.3325942261063094
revision_vspm_sensitivity/T5_n5,checkpoints,runs/revision_vspm_sensitivity/T5_n5/checkpoints/wandb_logs.txt,14,1000,13800,13800,0.750470079326689,0.05402613065358224,0.3203579264702201,0.750470079326689,0.05402613065358224,0.3203579264702201
smoke_baseline,checkpoints,runs/smoke_baseline/checkpoints/wandb_logs.txt,1,1,1,1,0.0652923583984375,-0.7292209655361916,0.5087636755997189,0.0652923583984375,-0.7292209655361916,0.5087636755997189
smoke_compressed,checkpoints,runs/smoke_compressed/checkpoints/wandb_logs.txt,1,1,1,1,0.0,-0.7945133239346291,0.0,0.0,-0.7945133239346291,0.0
