experiment_group,run,source,epoch,step,IoU,Baseline_IoU,Delta_IoU,Dynamic_IoU,Precision,Recall,F1,Accuracy
revision_mst_ablation/baseline,checkpoints,runs/revision_mst_ablation/baseline/checkpoints/wandb_logs.txt,3,1000,0.7094440554247641,,0.015188243135707453,0.16957940632194923,,,,
revision_mst_ablation/baseline,checkpoints,runs/revision_mst_ablation/baseline/checkpoints/wandb_logs.txt,5,2000,0.7229277368288802,,0.028671924539823625,0.22469132380752288,,,,
revision_mst_ablation/baseline,checkpoints,runs/revision_mst_ablation/baseline/checkpoints/wandb_logs.txt,7,3000,0.7357949951658039,,0.041539182876747384,0.2611053407766242,,,,
revision_mst_ablation/baseline,checkpoints,runs/revision_mst_ablation/baseline/checkpoints/wandb_logs.txt,10,4000,0.7396424651248225,,0.045386652835765894,0.286255285647992,,,,
revision_mst_ablation/baseline,checkpoints,runs/revision_mst_ablation/baseline/checkpoints/wandb_logs.txt,12,5000,0.7423522987799509,,0.048096486490894444,0.29349519360217585,,,,
revision_mst_ablation/baseline,checkpoints,runs/revision_mst_ablation/baseline/checkpoints/wandb_logs.txt,14,6000,0.7415660491263224,,0.04731023683726586,0.2777380202197176,,,,
revision_mst_ablation/baseline,checkpoints,runs/revision_mst_ablation/baseline/checkpoints/wandb_logs.txt,17,7000,0.7453234979127028,,0.05106768562364625,0.3137167185790346,,,,
revision_mst_ablation/baseline,checkpoints,runs/revision_mst_ablation/baseline/checkpoints/wandb_logs.txt,19,8000,0.746168368952456,,0.05191255666339942,0.3153768498255794,,,,
revision_mst_ablation/baseline,checkpoints,runs/revision_mst_ablation/baseline/checkpoints/wandb_logs.txt,21,9000,0.7488450576568462,,0.054589245367789696,0.3243748622679561,,,,
revision_mst_ablation/baseline,checkpoints,runs/revision_mst_ablation/baseline/checkpoints/wandb_logs.txt,23,10000,0.7481943028846623,,0.05393849059560579,0.3153494400459479,,,,
revision_mst_ablation/baseline,checkpoints,runs/revision_mst_ablation/baseline/checkpoints/wandb_logs.txt,26,11000,0.7494563372801238,,0.05520052499106732,0.32585966182806747,,,,
revision_mst_ablation/baseline,checkpoints,runs/revision_mst_ablation/baseline/checkpoints/wandb_logs.txt,28,12000,0.7491366866370918,,0.054880874348035236,0.3315179782418055,,,,
revision_mst_ablation/baseline,checkpoints,runs/revision_mst_ablation/baseline/checkpoints/wandb_logs.txt,30,13000,0.7493439943260404,,0.05508818203698396,0.319823245260001,,,,
revision_mst_ablation/baseline,checkpoints,runs/revision_mst_ablation/baseline/checkpoints/wandb_logs.txt,30,13050,0.7487611696502056,,0.054505357361149004,0.3295880194825385,,,,
revision_mst_ablation/bottleneck12,checkpoints,runs/revision_mst_ablation/bottleneck12/checkpoints/wandb_logs.txt,3,1000,0.6865228186453296,,-0.007732993643727036,2.1977783848110283e-05,,,,
revision_mst_ablation/bottleneck12,checkpoints,runs/revision_mst_ablation/bottleneck12/checkpoints/wandb_logs.txt,5,2000,0.6737692534464726,,-0.02048655884258383,0.007320768054582356,,,,
revision_mst_ablation/bottleneck12,checkpoints,runs/revision_mst_ablation/bottleneck12/checkpoints/wandb_logs.txt,7,3000,0.7030403539152398,,0.008784541626183147,0.029484733946315653,,,,
revision_mst_ablation/bottleneck12,checkpoints,runs/revision_mst_ablation/bottleneck12/checkpoints/wandb_logs.txt,10,4000,0.7080009409727134,,0.013745128683656786,0.04159827738979377,,,,
revision_mst_ablation/bottleneck12,checkpoints,runs/revision_mst_ablation/bottleneck12/checkpoints/wandb_logs.txt,12,5000,0.711158927183972,,0.016903114894915514,0.05167077596790431,,,,
revision_mst_ablation/bottleneck12,checkpoints,runs/revision_mst_ablation/bottleneck12/checkpoints/wandb_logs.txt,14,6000,0.7141760625857139,,0.019920250296657234,0.06892530405199916,,,,
revision_mst_ablation/bottleneck12,checkpoints,runs/revision_mst_ablation/bottleneck12/checkpoints/wandb_logs.txt,17,7000,0.7152636235115957,,0.021007811222539183,0.06558315856514225,,,,
revision_mst_ablation/bottleneck12,checkpoints,runs/revision_mst_ablation/bottleneck12/checkpoints/wandb_logs.txt,19,8000,0.7172789768959887,,0.023023164606932354,0.0701810372553999,,,,
revision_mst_ablation/bottleneck12,checkpoints,runs/revision_mst_ablation/bottleneck12/checkpoints/wandb_logs.txt,21,9000,0.7173422153263688,,0.023086403037312176,0.07789655701800893,,,,
revision_mst_ablation/bottleneck12,checkpoints,runs/revision_mst_ablation/bottleneck12/checkpoints/wandb_logs.txt,23,10000,0.7173725005646585,,0.023116688275602038,0.06488769640395288,,,,
revision_mst_ablation/bottleneck12,checkpoints,runs/revision_mst_ablation/bottleneck12/checkpoints/wandb_logs.txt,26,11000,0.7193764751023951,,0.025120662813338718,0.09052845979931733,,,,
revision_mst_ablation/bottleneck12,checkpoints,runs/revision_mst_ablation/bottleneck12/checkpoints/wandb_logs.txt,28,12000,0.7194907303292772,,0.025234918040220624,0.08064562506339157,,,,
revision_mst_ablation/bottleneck12,checkpoints,runs/revision_mst_ablation/bottleneck12/checkpoints/wandb_logs.txt,30,13000,0.7212829182879485,,0.027027105998891996,0.09359062753124177,,,,
revision_mst_ablation/bottleneck12,checkpoints,runs/revision_mst_ablation/bottleneck12/checkpoints/wandb_logs.txt,30,13050,0.7192760261310382,,0.025020213841981623,0.09864430729489171,,,,
revision_mst_ablation/ds64_fp16,checkpoints,runs/revision_mst_ablation/ds64_fp16/checkpoints/wandb_logs.txt,3,1000,0.6787311455696136,,-0.015524666719442987,0.00034639468052438075,,,,
revision_mst_ablation/ds64_fp16,checkpoints,runs/revision_mst_ablation/ds64_fp16/checkpoints/wandb_logs.txt,5,2000,0.6774059691398254,,-0.016849843149231148,0.0033941676950688853,,,,
revision_mst_ablation/ds64_fp16,checkpoints,runs/revision_mst_ablation/ds64_fp16/checkpoints/wandb_logs.txt,7,3000,0.7036774488303964,,0.009421636541339939,0.04144158904659384,,,,
revision_mst_ablation/ds64_fp16,checkpoints,runs/revision_mst_ablation/ds64_fp16/checkpoints/wandb_logs.txt,10,4000,0.7078096698317393,,0.013553857542682799,0.04077821165869093,,,,
revision_mst_ablation/ds64_fp16,checkpoints,runs/revision_mst_ablation/ds64_fp16/checkpoints/wandb_logs.txt,12,5000,0.7114293673931765,,0.017173555104119873,0.04932138933106301,,,,
revision_mst_ablation/ds64_fp16,checkpoints,runs/revision_mst_ablation/ds64_fp16/checkpoints/wandb_logs.txt,14,6000,0.7149265843653563,,0.020670772076299665,0.07013534972806208,,,,
revision_mst_ablation/ds64_fp16,checkpoints,runs/revision_mst_ablation/ds64_fp16/checkpoints/wandb_logs.txt,17,7000,0.7157125652504903,,0.021456752961433928,0.07413239729682522,,,,
revision_mst_ablation/ds64_fp16,checkpoints,runs/revision_mst_ablation/ds64_fp16/checkpoints/wandb_logs.txt,19,8000,0.7170276830135552,,0.02277187072449867,0.07679943257990592,,,,
revision_mst_ablation/ds64_fp16,checkpoints,runs/revision_mst_ablation/ds64_fp16/checkpoints/wandb_logs.txt,21,9000,0.7165337841414172,,0.022277971852360804,0.06929097920594537,,,,
revision_mst_ablation/ds64_fp16,checkpoints,runs/revision_mst_ablation/ds64_fp16/checkpoints/wandb_logs.txt,23,10000,0.7186282091916297,,0.024372396902573243,0.08575815550895668,,,,
revision_mst_ablation/ds64_fp16,checkpoints,runs/revision_mst_ablation/ds64_fp16/checkpoints/wandb_logs.txt,26,11000,0.7177135776779278,,0.023457765388871316,0.071306694609636,,,,
revision_mst_ablation/ds64_fp16,checkpoints,runs/revision_mst_ablation/ds64_fp16/checkpoints/wandb_logs.txt,28,12000,0.717329658258208,,0.02307384596915147,0.0877594303027905,,,,
revision_mst_ablation/ds64_fp16,checkpoints,runs/revision_mst_ablation/ds64_fp16/checkpoints/wandb_logs.txt,30,13000,0.7197490602558447,,0.025493247966788146,0.09063168871998067,,,,
revision_mst_ablation/ds64_fp16,checkpoints,runs/revision_mst_ablation/ds64_fp16/checkpoints/wandb_logs.txt,30,13050,0.7200180805709846,,0.025762268281928128,0.0914149674267842,,,,
revision_mst_ablation/gru_fp16,checkpoints,runs/revision_mst_ablation/gru_fp16/checkpoints/wandb_logs.txt,3,1000,0.7042821288142072,,0.01002631652515064,0.14359999334961943,,,,
revision_mst_ablation/gru_fp16,checkpoints,runs/revision_mst_ablation/gru_fp16/checkpoints/wandb_logs.txt,5,2000,0.7179159649234975,,0.023660152634440865,0.19096987031563933,,,,
revision_mst_ablation/gru_fp16,checkpoints,runs/revision_mst_ablation/gru_fp16/checkpoints/wandb_logs.txt,7,3000,0.7304680133680799,,0.03621220107902327,0.24159005897545652,,,,
revision_mst_ablation/gru_fp16,checkpoints,runs/revision_mst_ablation/gru_fp16/checkpoints/wandb_logs.txt,10,4000,0.735550187479786,,0.041294375190729274,0.26548362999721276,,,,
revision_mst_ablation/gru_fp16,checkpoints,runs/revision_mst_ablation/gru_fp16/checkpoints/wandb_logs.txt,12,5000,0.7345581898264242,,0.04030237753736763,0.26235453356208277,,,,
revision_mst_ablation/gru_fp16,checkpoints,runs/revision_mst_ablation/gru_fp16/checkpoints/wandb_logs.txt,14,6000,0.7378101412253992,,0.04355432893634263,0.292792440426,,,,
revision_mst_ablation/gru_fp16,checkpoints,runs/revision_mst_ablation/gru_fp16/checkpoints/wandb_logs.txt,17,7000,0.7393379214879057,,0.04508210919884914,0.29043765971711794,,,,
revision_mst_ablation/gru_fp16,checkpoints,runs/revision_mst_ablation/gru_fp16/checkpoints/wandb_logs.txt,19,8000,0.7413694472724162,,0.04711363498335965,0.2865450338097957,,,,
revision_mst_ablation/gru_fp16,checkpoints,runs/revision_mst_ablation/gru_fp16/checkpoints/wandb_logs.txt,21,9000,0.7431150198852119,,0.04885920759615528,0.2929439435202717,,,,
revision_mst_ablation/gru_fp16,checkpoints,runs/revision_mst_ablation/gru_fp16/checkpoints/wandb_logs.txt,23,10000,0.74416554333346,,0.04990973104440338,0.3046528151165184,,,,
revision_mst_ablation/gru_fp16,checkpoints,runs/revision_mst_ablation/gru_fp16/checkpoints/wandb_logs.txt,26,11000,0.7438537539138972,,0.04959794162484053,0.2868329470750145,,,,
revision_mst_ablation/gru_fp16,checkpoints,runs/revision_mst_ablation/gru_fp16/checkpoints/wandb_logs.txt,28,12000,0.7458638605886627,,0.05160804829960622,0.3114725726880503,,,,
revision_mst_ablation/gru_fp16,checkpoints,runs/revision_mst_ablation/gru_fp16/checkpoints/wandb_logs.txt,30,13000,0.7469373664912065,,0.05268155420214998,0.3050500121416313,,,,
revision_mst_ablation/gru_fp16,checkpoints,runs/revision_mst_ablation/gru_fp16/checkpoints/wandb_logs.txt,30,13050,0.7462386762674973,,0.0519828639784408,0.3074807626211741,,,,
revision_vspm_sensitivity/T10_n10,checkpoints,runs/revision_vspm_sensitivity/T10_n10/checkpoints/wandb_logs.txt,2,1000,0.6985782005562187,,0.030139648668033116,0.24496806293178594,,,,
revision_vspm_sensitivity/T10_n10,checkpoints,runs/revision_vspm_sensitivity/T10_n10/checkpoints/wandb_logs.txt,3,2000,0.6869229096043328,,0.01848435771614698,0.20922609218362942,,,,
revision_vspm_sensitivity/T10_n10,checkpoints,runs/revision_vspm_sensitivity/T10_n10/checkpoints/wandb_logs.txt,4,3000,0.6778420766525746,,0.00940352476438887,0.19325848031248363,,,,
revision_vspm_sensitivity/T10_n10,checkpoints,runs/revision_vspm_sensitivity/T10_n10/checkpoints/wandb_logs.txt,5,4000,0.6873966394052157,,0.018958087517030167,0.21633148128760873,,,,
revision_vspm_sensitivity/T10_n10,checkpoints,runs/revision_vspm_sensitivity/T10_n10/checkpoints/wandb_logs.txt,7,5000,0.7157393389242485,,0.04730078703606292,0.29994199144874306,,,,
revision_vspm_sensitivity/T10_n10,checkpoints,runs/revision_vspm_sensitivity/T10_n10/checkpoints/wandb_logs.txt,8,6000,0.7164763532999827,,0.0480378014117972,0.29559578563503464,,,,
revision_vspm_sensitivity/T10_n10,checkpoints,runs/revision_vspm_sensitivity/T10_n10/checkpoints/wandb_logs.txt,9,7000,0.7188802889860271,,0.050441737097841416,0.32031137744234145,,,,
revision_vspm_sensitivity/T10_n10,checkpoints,runs/revision_vspm_sensitivity/T10_n10/checkpoints/wandb_logs.txt,10,8000,0.7206328288984897,,0.052194277010304,0.31002628105332114,,,,
revision_vspm_sensitivity/T10_n10,checkpoints,runs/revision_vspm_sensitivity/T10_n10/checkpoints/wandb_logs.txt,11,9000,0.7201681820834105,,0.051729630195224835,0.3019711491931062,,,,
revision_vspm_sensitivity/T10_n10,checkpoints,runs/revision_vspm_sensitivity/T10_n10/checkpoints/wandb_logs.txt,13,10000,0.7198496425280171,,0.05141109063983159,0.3052382021038385,,,,
